,number,ruleID,attribute_426,attribute_427,attribute_428,attribute_429,attribute_430,attribute_431,attribute_432,attribute_433,attribute_434,attribute_435,attribute_436,attribute_437,attribute_438,attribute_439,attribute_440,attribute_441,attribute_442,attribute_443,attribute_444,attribute_445,attribute_446,attribute_447,attribute_448,attribute_449,attribute_450,attribute_451,attribute_452,attribute_453,attribute_454,attribute_455,attribute_456,attribute_457,attribute_458,attribute_459
45,46.0,1923.0,,,,,5000.0,,,,,,,,2.0,1.0,2.0,3.0,3.0,,1.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
46,47.0,1924.0,,,,,5000.0,,,,,,,,0.0,1.0,2.0,3.0,3.0,,1.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
47,48.0,1925.0,,,,,5000.0,,,,,,,,1.0,1.0,2.0,3.0,3.0,,5.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
48,49.0,1926.0,,,,,5000.0,,,,,,,,7.0,1.0,2.0,3.0,3.0,,5.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
49,50.0,1927.0,,,,,5000.0,,,,,,,,6.0,1.0,2.0,3.0,3.0,,4.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
50,51.0,1928.0,,,,,5000.0,,,,,,,,4.0,1.0,2.0,3.0,3.0,,5.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
51,52.0,1929.0,,,,,5000.0,,,,,,,,5.0,1.0,2.0,3.0,3.0,,2.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
52,53.0,1930.0,,,,,5000.0,,,,,,,,2.0,1.0,2.0,3.0,3.0,,0.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
53,54.0,1931.0,,,,,5000.0,,,,,,,,0.0,1.0,2.0,3.0,3.0,,0.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
54,55.0,1932.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,1.0,7.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
55,56.0,1933.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,7.0,6.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
56,57.0,1934.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,6.0,8.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
57,58.0,1935.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,4.0,1.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
58,59.0,1936.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,5.0,1.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
59,60.0,1937.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,2.0,1.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
60,61.0,1938.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,0.0,1.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
61,62.0,1939.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,1.0,5.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
